umidità temperatura co2 tvoc classe
57 23.100000 1178 118 0
57 23.200000 1204 122 0
57 23.100000 1231 126 0
57 23.200000 1231 126 0
57 23.200000 1245 128 0
57 23.200000 1259 130 0
57 23.100000 1281 134 0
57 23.200000 1295 136 0
57 23.200000 1281 134 0
57 23.100000 1310 138 0
57 23.200000 1338 142 0
57 23.300000 1338 142 0
57 23.100000 1352 145 0
57 23.100000 1367 147 0
57 23.200000 1389 150 0
57 23.000000 1400 152 0
57 23.100000 1416 154 0
57 23.200000 1432 157 0
57 23.200000 1458 161 0
57 23.100000 1458 161 0
57 23.200000 1482 164 0
57 23.000000 1482 164 0
57 23.100000 1494 168 0
57 23.200000 1498 170 0
57 23.200000 1505 175 0
57 23.100000 1505 175 0
57 23.200000 1509 178 0
57 23.100000 1509 178 0
58 23.200000 1509 178 0
58 23.100000 1509 178 0
57 23.100000 1515 181 0
57 23.000000 1515 181 0
57 23.000000 1520 185 0
57 23.200000 1520 185 0
57 23.200000 1526 189 0
57 23.100000 1526 189 0
58 23.100000 1526 189 0
58 23.100000 1530 192 0
58 23.000000 1530 192 0
58 23.200000 1530 192 0
58 23.200000 1535 196 0
58 23.100000 1535 196 0
58 23.100000 1540 199 0
58 23.200000 1540 199 0
58 23.100000 1544 203 0
58 23.200000 1544 203 0
58 23.200000 1552 208 0
58 23.100000 1552 208 0
58 23.000000 1552 208 0
58 23.200000 1557 212 0
58 23.100000 1557 212 0
58 23.100000 1560 215 0
58 23.100000 1568 220 0
58 23.000000 1568 220 0
58 23.100000 1573 225 0
58 23.200000 1573 225 0
58 23.300000 1579 228 0
58 23.200000 1579 228 0
58 23.100000 1579 234 0
58 23.100000 1587 234 0
58 23.300000 1587 234 0
58 23.000000 1587 234 0
58 23.200000 1591 237 0
58 23.300000 1591 237 0
58 23.000000 1591 237 0
58 23.100000 1595 242 0
58 23.000000 1595 242 0
58 23.200000 1602 247 0
58 23.000000 1602 247 0
58 23.100000 1602 247 0
58 23.000000 1607 253 0
58 23.200000 1607 253 0
58 23.100000 1607 253 0
58 23.100000 1612 257 0
58 23.200000 1612 257 0
58 23.000000 1612 257 0
58 23.100000 1616 261 0
58 23.000000 1616 261 0
58 23.200000 1616 261 0
58 23.200000 1624 267 0
58 23.000000 1624 267 0
58 23.300000 1629 272 0
58 23.100000 1629 272 0
58 23.200000 1629 272 0
58 23.000000 1629 272 0
58 23.000000 1637 279 0
58 23.100000 1637 279 0
58 23.300000 1642 284 0
58 23.400000 1642 284 0
58 23.100000 1642 284 0
58 23.000000 1642 284 0
58 23.300000 1648 288 0
58 23.100000 1648 288 0
58 23.200000 1648 288 0
58 23.200000 1656 295 0
58 23.100000 1656 295 0
58 23.400000 1656 295 0
58 23.400000 1661 300 0
58 23.200000 1661 300 0
58 23.500000 1661 300 0
58 23.300000 1661 300 0
58 23.600000 1661 300 0
58 23.600000 1668 306 0
58 23.400000 1668 306 0
58 23.300000 1668 306 0
58 23.200000 1673 312 0
58 23.100000 1692 331 0
63 23.200000 1668 306 0
93 23.900000 1673 312 0
68 23.900000 1678 318 0
61 24.000000 1686 324 0
59 23.900000 1678 318 0
58 24.000000 1678 318 0
58 24.000000 1673 312 0
58 23.900000 1678 318 0
58 23.800000 1678 318 0
58 23.900000 1686 324 0
58 23.800000 1686 324 0
58 23.600000 1686 324 0
58 23.500000 1686 324 0
58 23.400000 1686 324 0
59 23.800000 1692 331 0
58 23.800000 1692 331 0
58 23.400000 1692 331 0
58 23.700000 1692 331 0
58 23.800000 1699 337 0
58 23.700000 1699 337 0
58 23.800000 1704 344 0
58 23.700000 1704 344 0
58 23.600000 1704 344 0
58 23.400000 1704 344 0
58 23.600000 1713 351 0
58 23.700000 1713 351 0
58 23.500000 1713 351 0
58 23.800000 1713 351 0
58 23.900000 1713 351 0
58 23.700000 1720 357 0
58 23.600000 1720 357 0
58 23.800000 1720 357 0
58 23.300000 1720 357 0
58 23.400000 1720 357 0
58 23.400000 1726 364 0
58 23.200000 1720 357 0
58 23.700000 1726 364 0
58 23.600000 1726 364 0
58 23.800000 1726 364 0
58 23.300000 1726 364 0
58 23.700000 1735 372 0
58 23.400000 1735 372 0
58 23.200000 1735 372 0
58 23.500000 1735 372 0
58 23.800000 1735 372 0
58 23.300000 1735 372 0
58 23.300000 1739 379 0
58 23.700000 1739 379 0
58 23.400000 1739 379 0
58 23.200000 1739 379 0
58 23.700000 1747 387 0
58 23.300000 1747 387 0
58 23.600000 1747 387 0
58 23.400000 1747 387 0
58 23.200000 1747 387 0
58 23.400000 1753 394 0
58 23.700000 1753 394 0
58 23.300000 1753 394 0
58 23.600000 1757 400 0
58 23.800000 1753 394 0
58 24.100000 1757 400 0
58 23.700000 1757 400 0
58 24.000000 1753 394 0
58 23.400000 1757 400 0
58 23.800000 1757 400 0
58 23.500000 1757 400 0
58 24.300000 1757 400 0
58 24.400000 1757 400 0
58 24.400000 1766 410 0
58 24.300000 1766 410 0
58 23.500000 1766 410 0
58 24.000000 1766 410 0
58 23.200000 1766 410 0
58 23.000000 1766 410 0
58 22.800000 1766 410 0
58 24.500000 1766 410 0
58 24.400000 1772 417 0
58 24.300000 1772 417 0
58 24.200000 1772 417 0
58 22.800000 1772 417 0
58 24.400000 1778 425 0
58 24.200000 1778 425 0
58 22.900000 1778 425 0
58 24.300000 1778 425 0
58 23.300000 1778 425 0
58 24.300000 1785 434 0
58 22.900000 1785 434 0
58 24.400000 1785 434 0
58 24.200000 1785 434 0
59 24.300000 1785 434 0
59 24.200000 1785 434 0
58 22.800000 1785 434 0
59 24.100000 1793 442 0
59 24.400000 1785 434 0
58 24.100000 1785 434 0
59 24.100000 1785 434 0
58 23.000000 1793 442 0
58 24.300000 1793 442 0
58 23.900000 1793 442 0
59 24.200000 1793 442 0
58 24.200000 1793 442 0
58 24.100000 1793 442 0
59 23.900000 1793 442 0
58 24.200000 1801 451 0
59 24.300000 1801 451 0
59 24.200000 1801 451 0
59 24.100000 1801 451 0
59 23.800000 1801 451 0
59 23.900000 1801 451 0
58 24.100000 1801 451 0
59 24.000000 1801 451 0
58 24.000000 1801 451 0
58 23.900000 1801 451 0
58 24.100000 1810 461 0
59 24.000000 1810 461 0
58 24.000000 1810 461 0
58 23.900000 1810 461 0
58 24.200000 1810 461 0
58 24.000000 1815 469 0
58 23.900000 1815 469 0
58 23.800000 1815 469 0
58 24.100000 1815 469 0
58 24.000000 1815 461 0
59 23.900000 1815 469 0
59 23.800000 1815 469 0
59 24.000000 1815 469 0
59 23.900000 1810 461 0
59 23.800000 1810 461 0
59 23.700000 1815 469 0
59 23.700000 1810 461 0
59 23.800000 1815 461 0
59 23.700000 1801 451 0
59 23.600000 1801 451 0
59 23.600000 1810 461 0
59 23.700000 1793 442 0
59 23.600000 1793 442 0
59 23.800000 1793 442 0
58 23.800000 1793 442 0
58 23.600000 1793 442 0
58 23.700000 1793 442 0
59 23.700000 1785 434 0
59 23.800000 1785 434 0
58 23.800000 1785 434 0
58 23.700000 1785 434 0
59 23.700000 1778 425 0
59 23.600000 1785 434 0
59 23.800000 1778 425 0
58 23.800000 1778 425 0
58 23.700000 1778 425 0
59 23.600000 1778 425 0
58 23.700000 1772 417 0
58 23.800000 1772 417 0
59 23.700000 1772 417 0
59 23.800000 1772 417 0
58 23.800000 1766 410 0
59 23.700000 1766 410 0
58 23.700000 1766 410 0
