umidità temperatura co2 tvoc classe
34 31.9 5412 8004 1
34 31.9 4839 6790 1
38 32.5 4895 6889 1
38 32.5 4455 5967 1
39 33.2 3693 4335 1
39 33.2 3640 4219 1
38 34.2 3561 4055 1
38 34.2 3376 3665 1
35 34.6 3332 3562 1
35 34.6 3401 3707 1
33 34.9 3105 3077 1
33 34.9 3357 3617 1
32 35.0 3207 3285 1
32 35.0 2823 2485 1
29 35.8 2745 2320 1
29 35.8 3031 2915 1
28 36.5 2927 2691 1
28 36.5 3147 3168 1
29 36.9 3312 3515 1
29 36.9 3693 4335 1
29 37.5 4050 5114 1
29 37.5 3833 4654 1
29 38.0 4713 6498 1
29 38.0 5290 7751 1
29 38.2 6453 10244 1
29 38.2 6626 10595 1
30 38.3 7501 12467 1
30 38.3 7283 12002 1
31 38.5 6535 10419 1
31 38.5 8105 13791 1
30 38.5 9877 17546 1
30 38.5 10281 18367 1
31 38.7 7735 13014 1
31 38.7 5524 8271 1
28 38.7 4839 6790 1
28 38.7 3990 4984 1
26 38.8 3590 4107 1
26 38.8 5781 8802 1
26 38.9 6143 9559 1
26 38.9 4619 6315 1
26 38.9 4750 6595 1
26 38.9 6295 9900 1
27 39.5 5650 8536 1
27 39.5 5524 8271 1
26 39.1 4938 6990 1
26 39.1 3750 4451 1
27 39.5 3497 3912 1
27 39.5 5591 8407 1
25 40.4 6063 9395 1
25 40.4 4895 6889 1
30 39.9 4301 5627 1
30 39.9 4379 5794 1
26 39.9 4986 7099 1
26 39.9 4839 6790 1
28 40.5 4938 6990 1
28 40.5 4494 6040 1
27 40.6 4337 5708 1
27 40.6 3893 4782 1
26 41.2 4379 5794 1
26 41.2 4619 6315 1
24 41.4 3693 4335 1
24 41.4 2982 2810 1
24 41.4 5351 7872 1
24 41.4 4228 5478 1
24 41.3 3192 3246 1
24 41.3 4713 6498 1
22 41.5 8676 14980 1
22 41.5 5464 8145 1
25 41.6 6453 10244 1
25 41.6 8105 13791 1
25 41.5 6535 10419 1
25 41.5 6063 9395 1
25 41.5 6807 10977 1
25 41.5 5412 8004 1
24 41.3 4938 6990 1
24 41.3 5591 8407 1
24 41.3 7852 13255 1
24 41.3 8538 14695 1
24 40.8 6211 9718 1
24 40.8 9877 17546 1
